Fold,Epoch,Train_Loss,Train_Acc,Train_F1,Val_Loss,Val_Acc,Val_F1
2,47,0.5232,0.7967,0.7947,0.5533,0.8104,0.7972
2,48,0.511,0.7947,0.792,0.545,0.8104,0.8015
3,1,1.8236,0.2756,0.2708,1.4809,0.3412,0.2574
3,2,1.5636,0.3214,0.3018,1.3881,0.3981,0.3103
3,3,1.4688,0.3636,0.3388,1.3633,0.3902,0.2713
3,4,1.3932,0.3932,0.3673,1.3311,0.4186,0.3032
3,5,1.3186,0.4224,0.4012,1.2107,0.4992,0.4634
3,6,1.2517,0.4512,0.4298,1.2137,0.4581,0.416
3,7,1.1869,0.4757,0.4582,1.1654,0.5355,0.4908
3,8,1.1305,0.5061,0.4922,1.0895,0.4945,0.4282
3,9,1.0884,0.542,0.5294,1.0603,0.5387,0.4961
3,10,1.0232,0.5665,0.5577,0.9825,0.6177,0.5895
3,11,0.9601,0.6024,0.5955,0.9871,0.6035,0.5635
3,12,0.9303,0.625,0.616,0.9375,0.624,0.6111
3,13,0.8797,0.6427,0.6332,0.9358,0.6477,0.616
3,14,0.8739,0.6601,0.654,0.8982,0.6588,0.6222
3,15,0.8499,0.6514,0.6453,0.9379,0.5972,0.5636
3,16,0.822,0.6684,0.6623,0.8428,0.6904,0.6724
3,17,0.8005,0.6881,0.6823,0.7865,0.7125,0.6889
3,18,0.8014,0.6794,0.6729,0.7789,0.7141,0.7025
3,19,0.779,0.7055,0.7013,0.8058,0.6809,0.6664
3,20,0.76,0.7138,0.7092,0.7296,0.722,0.7169
3,21,0.7352,0.7106,0.7062,0.7396,0.7235,0.7152
3,22,0.7325,0.7122,0.7077,0.7554,0.7172,0.6934
3,23,0.7172,0.7209,0.7166,0.7497,0.7109,0.6915
3,24,0.7108,0.7201,0.716,0.7524,0.6935,0.6848
3,25,0.6915,0.7347,0.7305,0.7564,0.7125,0.6881
3,26,0.663,0.7379,0.733,0.7496,0.7109,0.6889
3,27,0.6545,0.7462,0.742,0.7396,0.7062,0.6922
3,28,0.6653,0.7469,0.7432,0.6589,0.7615,0.7476
3,29,0.6345,0.756,0.7534,0.7638,0.7172,0.7111
3,30,0.66,0.7414,0.7374,0.6718,0.7488,0.7383
3,31,0.6255,0.7497,0.7446,0.7606,0.6951,0.6835
3,32,0.6425,0.7612,0.7579,0.6977,0.7457,0.7309
3,33,0.6201,0.7584,0.7557,0.663,0.7267,0.7107
3,34,0.6248,0.76,0.7567,0.6548,0.7441,0.7346
3,35,0.6058,0.7722,0.7694,0.6847,0.7536,0.7449
3,36,0.6021,0.7679,0.7646,0.6229,0.7757,0.7676
3,37,0.5992,0.7722,0.7692,0.662,0.7441,0.7326
3,38,0.6023,0.7627,0.7604,0.6613,0.752,0.734
3,39,0.6021,0.7734,0.77,0.6912,0.733,0.7079
3,40,0.594,0.769,0.7655,0.6946,0.7409,0.729
3,41,0.5646,0.7781,0.7758,0.7524,0.6935,0.6674
3,42,0.5553,0.7884,0.786,0.6145,0.7567,0.7463
3,43,0.5775,0.7833,0.7805,0.7472,0.6967,0.6705
3,44,0.5672,0.7876,0.7849,0.6939,0.7504,0.7292
