Fold,Epoch,Train_Loss,Train_Acc,Train_F1,Val_Loss,Val_Acc,Val_F1
2,49,0.1543,0.9463,0.9463,0.1425,0.9558,0.9555
2,50,0.1519,0.9495,0.949,0.2224,0.9147,0.9184
3,1,1.5656,0.302,0.2712,1.7044,0.2528,0.1266
3,2,1.4392,0.4058,0.3584,1.3785,0.4439,0.3738
3,3,1.3008,0.4781,0.4279,1.1854,0.485,0.4007
3,4,1.1683,0.5559,0.5045,1.0999,0.5103,0.4169
3,5,1.0807,0.5949,0.5578,0.9787,0.5924,0.5318
3,6,0.9784,0.6368,0.6077,1.7417,0.4645,0.3424
3,7,0.9171,0.6621,0.6377,0.9664,0.594,0.5591
3,8,0.8218,0.6992,0.6827,0.7313,0.722,0.6769
3,9,0.803,0.7173,0.7039,0.795,0.6825,0.6368
3,10,0.7359,0.7394,0.7278,0.6828,0.7314,0.6836
3,11,0.6993,0.7473,0.7397,0.5139,0.8373,0.8284
3,12,0.6449,0.7687,0.7619,0.7818,0.6967,0.6489
3,13,0.6254,0.7734,0.7671,0.4996,0.8041,0.7926
3,14,0.5652,0.8026,0.7978,0.5491,0.7709,0.7446
3,15,0.5694,0.7904,0.7848,0.477,0.8025,0.794
3,16,0.5322,0.8156,0.8118,0.4187,0.842,0.8335
3,17,0.4917,0.8196,0.8158,0.3687,0.8594,0.8427
3,18,0.4457,0.8468,0.8445,0.4207,0.8373,0.8281
3,19,0.4418,0.8397,0.8353,0.4104,0.8215,0.8055
3,20,0.4148,0.8571,0.8545,0.2881,0.8878,0.8858
3,21,0.4069,0.8555,0.8524,0.2857,0.8973,0.8969
3,22,0.3819,0.8658,0.863,0.276,0.9131,0.9112
3,23,0.369,0.8681,0.8662,0.4421,0.8262,0.8083
3,24,0.3444,0.8804,0.8782,0.3128,0.9052,0.9036
3,25,0.3469,0.8824,0.8799,0.2536,0.8894,0.8867
3,26,0.3027,0.8895,0.8884,0.2388,0.9052,0.903
3,27,0.3143,0.8926,0.8911,0.3149,0.8752,0.8739
3,28,0.2924,0.8985,0.8973,0.2885,0.9115,0.9105
3,29,0.2833,0.897,0.8955,1.2532,0.7694,0.7387
3,30,0.285,0.897,0.8953,0.1682,0.9447,0.9443
3,31,0.2695,0.8993,0.8976,0.1963,0.951,0.9522
3,32,0.2475,0.9175,0.9163,0.249,0.9179,0.9171
3,33,0.2351,0.9171,0.9162,0.213,0.9336,0.9323
3,34,0.2511,0.91,0.9089,0.2592,0.9384,0.9381
3,35,0.2261,0.9163,0.9153,0.1909,0.9384,0.9391
3,36,0.2178,0.9242,0.923,0.1791,0.9447,0.9448
3,37,0.2236,0.9218,0.9208,0.1936,0.9479,0.9488
3,38,0.2057,0.9305,0.9297,0.1928,0.9431,0.9436
3,39,0.2101,0.9242,0.9235,0.2824,0.8815,0.8789
3,40,0.1936,0.9309,0.9304,0.1521,0.9558,0.9564
3,41,0.2027,0.9301,0.9294,0.2161,0.9352,0.9331
3,42,0.2143,0.9262,0.9257,0.6027,0.8025,0.7996
3,43,0.1786,0.9349,0.9344,0.1603,0.9542,0.9535
3,44,0.1784,0.9356,0.9353,0.2337,0.9036,0.9047
3,45,0.164,0.9392,0.9388,0.1826,0.9431,0.9439
3,46,0.1779,0.9337,0.9329,0.1135,0.9763,0.9764
3,47,0.1685,0.9412,0.9406,0.5216,0.8325,0.8231
3,48,0.1641,0.94,0.9397,0.1277,0.97,0.9701
3,49,0.1553,0.9483,0.948,0.8632,0.8057,0.7933
3,50,0.1457,0.9471,0.9468,0.1833,0.9336,0.9344
4,1,1.5784,0.2779,0.2504,1.6386,0.2354,0.0897
4,2,1.4775,0.3841,0.3323,1.3313,0.4344,0.3506
4,3,1.305,0.4884,0.434,1.1192,0.5024,0.3944
4,4,1.1671,0.5551,0.5093,0.9264,0.6635,0.6243
4,5,1.0541,0.6103,0.5772,0.9909,0.5861,0.5119
4,6,0.9633,0.649,0.6286,0.7961,0.7299,0.6833
4,7,0.9032,0.6751,0.6577,0.722,0.6967,0.6801
4,8,0.8089,0.7055,0.6942,0.6463,0.7757,0.7576
4,9,0.7546,0.7264,0.7172,0.6794,0.733,0.7055
4,10,0.72,0.7446,0.7382,0.5281,0.8199,0.8156
4,11,0.6795,0.7544,0.749,0.5205,0.7915,0.7754
4,12,0.6193,0.7801,0.773,0.4101,0.8499,0.8413
4,13,0.5821,0.7896,0.785,0.4032,0.8468,0.8387
4,14,0.5646,0.7908,0.7871,0.4104,0.8626,0.8615
4,15,0.522,0.8129,0.8107,0.3533,0.8831,0.8799
4,16,0.5122,0.8156,0.8127,0.3709,0.8705,0.8644
4,17,0.4711,0.8287,0.8264,0.3854,0.8641,0.8402
4,18,0.4553,0.8409,0.8388,0.4044,0.8515,0.8387
4,19,0.4417,0.8429,0.8413,0.3359,0.8942,0.8877
4,20,0.4089,0.8539,0.8522,0.3417,0.891,0.882
4,21,0.4138,0.852,0.8508,0.3374,0.8768,0.8628
4,22,0.3862,0.8634,0.8617,0.295,0.8942,0.8827
4,23,0.3533,0.878,0.8767,0.281,0.9052,0.8971
4,24,0.339,0.8843,0.8828,0.2681,0.8973,0.8987
4,25,0.3126,0.8891,0.8879,0.2916,0.9005,0.9017
4,26,0.3036,0.8914,0.8904,0.3009,0.8942,0.8929
4,27,0.3194,0.893,0.8915,0.3404,0.8799,0.8742
4,28,0.2961,0.8906,0.8894,0.2708,0.9005,0.8978
4,29,0.2846,0.9072,0.9066,0.2463,0.91,0.9087
4,30,0.2728,0.8981,0.8972,0.251,0.9147,0.9155
4,31,0.284,0.9029,0.9021,0.3375,0.8957,0.8897
4,32,0.2644,0.9076,0.9069,0.2206,0.9258,0.9231
4,33,0.2301,0.9203,0.9197,0.3098,0.8926,0.8844
4,34,0.2636,0.9072,0.9063,0.2447,0.9084,0.9056
4,35,0.2469,0.9104,0.9098,0.2232,0.94,0.9379
4,36,0.24,0.9116,0.911,0.2339,0.9226,0.9213
4,37,0.2389,0.9092,0.9085,0.2066,0.9368,0.9338
4,38,0.2288,0.9155,0.9148,0.2023,0.9305,0.9255
4,39,0.2115,0.9254,0.9246,0.2103,0.9368,0.936
4,40,0.2165,0.9203,0.9197,0.2633,0.921,0.9195
4,41,0.2076,0.9218,0.9214,0.1795,0.9479,0.9465
4,42,0.2009,0.9317,0.9311,0.188,0.9573,0.9565
4,43,0.1911,0.9356,0.9354,0.1749,0.9463,0.9462
4,44,0.1903,0.9329,0.9328,0.1799,0.9463,0.9463
4,45,0.1805,0.9337,0.9332,0.1787,0.9447,0.943
4,46,0.1716,0.9455,0.9452,0.2373,0.921,0.9147
4,47,0.1911,0.9333,0.9331,0.1714,0.9431,0.94
4,48,0.1532,0.9483,0.9479,0.1748,0.9494,0.9465
4,49,0.1676,0.9424,0.9421,0.1654,0.9526,0.9508
4,50,0.1701,0.9404,0.9401,0.1526,0.9542,0.9524
5,1,1.5579,0.2992,0.263,1.5386,0.2575,0.1566
5,2,1.4235,0.4118,0.3729,1.3994,0.4329,0.3051
5,3,1.2832,0.4864,0.4325,1.129,0.6082,0.5792
5,4,1.1498,0.557,0.5166,1.0223,0.5608,0.5003
5,5,1.0525,0.6107,0.5817,0.996,0.5529,0.5101
5,6,0.9581,0.6415,0.621,0.9875,0.5956,0.5481
5,7,0.8846,0.6727,0.6562,0.7256,0.7583,0.7382
5,8,0.8185,0.7102,0.7009,0.6763,0.7741,0.782
5,9,0.7509,0.7323,0.7236,0.665,0.7599,0.7396
5,10,0.7151,0.7462,0.7394,0.6437,0.7615,0.7423
5,11,0.657,0.7679,0.7634,0.6717,0.7488,0.7449
5,12,0.6504,0.7604,0.7566,0.4753,0.8436,0.8376
5,13,0.5882,0.7927,0.7889,0.4326,0.8452,0.8415
5,14,0.5604,0.7939,0.7906,0.4233,0.842,0.8384
5,15,0.5347,0.8113,0.808,0.4696,0.8262,0.8255
5,16,0.5098,0.8192,0.8158,0.4008,0.8389,0.8283
5,17,0.4886,0.8247,0.8223,0.3495,0.8784,0.8815
5,18,0.4657,0.8377,0.8361,0.3488,0.8815,0.8795
5,19,0.4547,0.835,0.8324,0.3589,0.8784,0.8811
5,20,0.4225,0.8508,0.849,0.3078,0.8989,0.8998
5,21,0.4241,0.8441,0.8432,0.6249,0.7599,0.7238
5,22,0.3977,0.8531,0.8517,0.3286,0.8863,0.8717
5,23,0.3862,0.8658,0.8641,0.327,0.8878,0.8782
5,24,0.3709,0.8618,0.8603,0.287,0.9084,0.9083
5,25,0.3288,0.8788,0.8772,0.3408,0.9147,0.9134
5,26,0.3383,0.8796,0.8783,0.3001,0.9005,0.9005
5,27,0.3142,0.8914,0.8905,0.3201,0.8768,0.8766
5,28,0.3091,0.8851,0.8845,0.3146,0.8973,0.9008
5,29,0.3055,0.8926,0.8919,0.2638,0.9163,0.917
5,30,0.2829,0.9017,0.9012,0.198,0.9479,0.9474
5,31,0.2916,0.8954,0.8944,0.266,0.9131,0.9115
5,32,0.2821,0.8958,0.8945,0.2752,0.9068,0.9057
5,33,0.2631,0.9076,0.9071,0.2727,0.9084,0.91
5,34,0.2577,0.9033,0.9024,0.2227,0.9352,0.9335
5,35,0.2541,0.912,0.9113,0.2155,0.9336,0.9334
5,36,0.2304,0.9147,0.9139,0.2144,0.9321,0.9327
5,37,0.2182,0.9218,0.9215,0.1932,0.9321,0.9263
5,38,0.2281,0.9167,0.9158,0.213,0.9305,0.9326
5,39,0.2108,0.9297,0.9293,0.2542,0.9115,0.9148
5,40,0.1968,0.9349,0.9344,0.1535,0.9573,0.9564
5,41,0.1938,0.9325,0.9319,0.2632,0.9068,0.9
5,42,0.2057,0.9266,0.9261,0.1659,0.9494,0.9486
5,43,0.2068,0.9238,0.9233,0.1692,0.9542,0.9538
5,44,0.1966,0.9301,0.9296,0.1534,0.9494,0.9467
5,45,0.1866,0.9333,0.933,0.1587,0.9542,0.9532
5,46,0.191,0.9278,0.927,0.1598,0.951,0.9517
5,47,0.1577,0.9463,0.9461,0.1696,0.94,0.9407
5,48,0.1678,0.9396,0.9392,0.1868,0.9352,0.9306
5,49,0.1847,0.9341,0.9337,0.1679,0.9526,0.9517
5,50,0.1504,0.9518,0.9515,0.1197,0.97,0.9695
