Fold,Epoch,Train_Loss,Train_Acc,Train_F1,Val_Loss,Val_Acc,Val_F1
1,1,1.5849,0.28,0.2496,1.5504,0.3691,0.2952
1,2,1.4208,0.4258,0.368,1.2936,0.5552,0.5318
1,3,1.2389,0.519,0.4609,1.0335,0.6656,0.6728
1,4,1.0874,0.5944,0.5602,1.0503,0.5599,0.497
1,5,0.982,0.6477,0.6174,0.7742,0.7161,0.6725
1,6,0.9017,0.6817,0.6595,0.799,0.6924,0.6624
1,7,0.8186,0.7093,0.6941,0.7827,0.6909,0.6453
1,8,0.7649,0.7405,0.7315,0.6638,0.765,0.7359
1,9,0.7356,0.7374,0.7253,0.5083,0.8202,0.8047
1,10,0.6595,0.7717,0.7649,0.4748,0.8391,0.8402
1,11,0.6246,0.7769,0.77,0.4937,0.8123,0.8112
1,12,0.579,0.8029,0.799,0.5048,0.795,0.7976
1,13,0.55,0.8057,0.8013,0.3705,0.8991,0.9003
1,14,0.5329,0.812,0.8091,0.3341,0.9054,0.9032
1,15,0.4755,0.8298,0.8263,0.3801,0.8896,0.8762
1,16,0.482,0.8278,0.825,0.3417,0.9038,0.9002
1,17,0.451,0.842,0.8399,0.3882,0.8707,0.8558
1,18,0.4303,0.8507,0.849,0.3092,0.9085,0.9072
1,19,0.394,0.863,0.8608,0.2836,0.9006,0.9018
1,20,0.3834,0.8551,0.8533,0.2755,0.9416,0.9412
1,21,0.3702,0.8669,0.8658,0.3026,0.9038,0.9044
1,22,0.3734,0.8677,0.8661,0.2542,0.918,0.9163
1,23,0.3434,0.8799,0.8784,0.36,0.8486,0.8557
1,24,0.3356,0.8795,0.878,0.2477,0.9369,0.9362
1,25,0.3155,0.8882,0.8866,0.2129,0.9416,0.9385
1,26,0.3019,0.8965,0.8951,0.207,0.9401,0.9399
1,27,0.2852,0.9001,0.8995,0.2904,0.8991,0.8969
1,28,0.2693,0.9021,0.9009,0.3493,0.8849,0.8748
1,29,0.2676,0.9056,0.9045,0.2045,0.9416,0.9417
1,30,0.2576,0.9107,0.9102,0.2068,0.9432,0.9424
1,31,0.2609,0.9103,0.9094,0.1798,0.9558,0.9558
1,32,0.2518,0.9123,0.9116,0.1775,0.9385,0.937
1,33,0.2419,0.9171,0.9163,0.1741,0.9353,0.9354
1,34,0.2316,0.9175,0.9166,0.1687,0.9558,0.9555
1,35,0.2323,0.9147,0.9133,0.1594,0.9763,0.9764
1,36,0.2071,0.9277,0.9271,0.1573,0.9653,0.9651
1,37,0.2097,0.9222,0.9215,0.1457,0.959,0.958
1,38,0.2106,0.9218,0.9209,0.1515,0.9558,0.9555
1,39,0.2167,0.9206,0.9199,0.1721,0.9401,0.9404
1,40,0.2017,0.9254,0.9245,0.1494,0.9606,0.9611
1,41,0.1883,0.9321,0.9317,0.1434,0.9669,0.9666
1,42,0.1945,0.9344,0.9338,0.1308,0.9637,0.9635
1,43,0.1986,0.9309,0.9301,0.139,0.9606,0.9602
1,44,0.1758,0.9412,0.9407,0.1488,0.9527,0.9538
1,45,0.1902,0.9277,0.9272,0.112,0.9669,0.967
1,46,0.1754,0.9376,0.9372,0.1057,0.9653,0.965
1,47,0.1964,0.936,0.9356,0.1069,0.9858,0.9859
1,48,0.168,0.9415,0.9413,0.1202,0.9685,0.9682
1,49,0.1604,0.9384,0.938,0.1212,0.9716,0.9714
1,50,0.1696,0.94,0.9396,0.1355,0.9732,0.9735
2,1,1.5477,0.3139,0.2774,1.5799,0.297,0.1954
2,2,1.4233,0.3987,0.3462,1.4375,0.4076,0.2689
2,3,1.2955,0.484,0.4428,1.1858,0.5213,0.4341
2,4,1.1628,0.5428,0.5049,1.3321,0.4123,0.3171
2,5,1.0738,0.5938,0.563,1.0589,0.5735,0.4834
2,6,0.9687,0.655,0.637,0.7817,0.7425,0.7089
2,7,0.9199,0.6696,0.6557,0.931,0.6367,0.569
2,8,0.8236,0.6992,0.69,0.7592,0.7014,0.6648
2,9,0.7706,0.7122,0.7011,0.7338,0.7299,0.7026
2,10,0.7117,0.7446,0.739,0.7488,0.7141,0.6722
2,11,0.6779,0.7592,0.7536,0.5212,0.8262,0.8139
2,12,0.6474,0.769,0.7651,0.5135,0.8183,0.8117
2,13,0.6008,0.7841,0.7786,0.4788,0.7994,0.7836
2,14,0.5529,0.8002,0.7965,0.4714,0.8041,0.7776
2,15,0.5589,0.7955,0.7935,0.5202,0.7978,0.7814
2,16,0.528,0.8073,0.8042,0.4278,0.8278,0.8078
2,17,0.4865,0.8251,0.822,0.4763,0.8231,0.8054
2,18,0.4525,0.8338,0.8313,0.4983,0.8183,0.803
2,19,0.4373,0.8397,0.8375,0.3582,0.8831,0.8771
2,20,0.4296,0.8421,0.8398,0.52,0.7978,0.789
2,21,0.4179,0.8512,0.8494,0.379,0.8926,0.8873
2,22,0.3806,0.8595,0.8581,0.3095,0.8863,0.8796
2,23,0.3701,0.8674,0.8657,0.2972,0.9052,0.9043
2,24,0.3652,0.8693,0.8672,0.3515,0.8578,0.8508
2,25,0.3408,0.8788,0.8776,0.2946,0.8926,0.8948
2,26,0.3242,0.8839,0.8827,0.3867,0.861,0.8548
2,27,0.3239,0.8851,0.8846,0.237,0.9384,0.9369
2,28,0.3028,0.8942,0.8931,0.2508,0.9226,0.9202
2,29,0.2986,0.8954,0.894,0.2415,0.9194,0.912
2,30,0.2846,0.8966,0.8959,0.2081,0.9336,0.9285
2,31,0.2738,0.8993,0.8984,0.2421,0.9305,0.9299
2,32,0.2615,0.9088,0.908,0.2274,0.9242,0.9249
2,33,0.2559,0.9151,0.9144,0.2083,0.9352,0.9306
2,34,0.2524,0.9088,0.908,0.205,0.9321,0.9318
2,35,0.2258,0.9238,0.9233,0.207,0.9431,0.9412
2,36,0.227,0.9238,0.9234,0.2456,0.921,0.9225
2,37,0.2084,0.9293,0.929,0.2478,0.9321,0.9297
2,38,0.2115,0.9242,0.9237,0.2289,0.9368,0.9365
2,39,0.2018,0.9333,0.9329,0.1797,0.9463,0.9447
2,40,0.2154,0.921,0.9204,0.1657,0.9526,0.9511
2,41,0.2103,0.9254,0.9251,0.1736,0.9415,0.9392
2,42,0.1979,0.9333,0.933,0.1758,0.9526,0.9532
2,43,0.1998,0.9262,0.9259,0.1782,0.9463,0.944
2,44,0.1769,0.9353,0.9347,0.1641,0.9479,0.9466
2,45,0.1719,0.9384,0.9381,0.1448,0.9589,0.9583
2,46,0.1704,0.9404,0.9401,0.1711,0.9368,0.9319
2,47,0.1722,0.9439,0.9438,0.1666,0.9526,0.9525
2,48,0.1876,0.9376,0.9375,0.1503,0.9637,0.9637
