
==================================================
Starting Trial 0
Parameters: batch_size=8, lr=0.000018, epochs=30, weight_decay=0.000002, dropout=0.39
==================================================

Fold 1/5
  Epoch 12/30 | Train Loss: 1.5619, Acc: 0.3016, F1: 0.2682 | Val Loss: 1.9710, Acc: 0.2607, F1: 0.1582
  Epoch 13/30 | Train Loss: 1.5533, Acc: 0.3143, F1: 0.2817 | Val Loss: 1.9698, Acc: 0.2638, F1: 0.1601
  Epoch 14/30 | Train Loss: 1.5450, Acc: 0.3146, F1: 0.2746 | Val Loss: 1.9058, Acc: 0.2970, F1: 0.1904
  Epoch 15/30 | Train Loss: 1.5474, Acc: 0.3115, F1: 0.2776 | Val Loss: 1.9571, Acc: 0.2512, F1: 0.1404
  Epoch 16/30 | Train Loss: 1.5393, Acc: 0.3229, F1: 0.2842 | Val Loss: 1.9183, Acc: 0.2575, F1: 0.1468
  Epoch 17/30 | Train Loss: 1.5351, Acc: 0.3229, F1: 0.2884 | Val Loss: 1.9274, Acc: 0.2559, F1: 0.1438
  Epoch 18/30 | Train Loss: 1.5307, Acc: 0.3383, F1: 0.3051 | Val Loss: 1.8992, Acc: 0.2528, F1: 0.1389
  Epoch 19/30 | Train Loss: 1.5249, Acc: 0.3553, F1: 0.3183 | Val Loss: 1.8755, Acc: 0.2480, F1: 0.1286
  Epoch 20/30 | Train Loss: 1.5234, Acc: 0.3304, F1: 0.2965 | Val Loss: 1.8442, Acc: 0.2575, F1: 0.1432
  Epoch 21/30 | Train Loss: 1.5171, Acc: 0.3486, F1: 0.3066 | Val Loss: 1.8179, Acc: 0.2733, F1: 0.1644
  Epoch 22/30 | Train Loss: 1.5176, Acc: 0.3506, F1: 0.3109 | Val Loss: 1.8149, Acc: 0.2607, F1: 0.1492
  Epoch 23/30 | Train Loss: 1.5159, Acc: 0.3494, F1: 0.3128 | Val Loss: 1.7914, Acc: 0.2654, F1: 0.1549
  Epoch 24/30 | Train Loss: 1.5068, Acc: 0.3498, F1: 0.3129 | Val Loss: 1.7909, Acc: 0.2607, F1: 0.1486
  Epoch 25/30 | Train Loss: 1.5016, Acc: 0.3727, F1: 0.3317 | Val Loss: 1.7739, Acc: 0.2686, F1: 0.1581
  Epoch 26/30 | Train Loss: 1.5015, Acc: 0.3529, F1: 0.3170 | Val Loss: 1.7388, Acc: 0.2733, F1: 0.1632
  Epoch 27/30 | Train Loss: 1.5062, Acc: 0.3608, F1: 0.3255 | Val Loss: 1.7535, Acc: 0.2638, F1: 0.1522
  Epoch 28/30 | Train Loss: 1.5086, Acc: 0.3612, F1: 0.3235 | Val Loss: 1.7137, Acc: 0.2796, F1: 0.1722
  Epoch 29/30 | Train Loss: 1.5004, Acc: 0.3561, F1: 0.3207 | Val Loss: 1.7234, Acc: 0.2607, F1: 0.1460
